TPH,BPH,TST,BST,W
7.65,7.71,12.84,12.12,Wet
7.64,7.59,22.23,22.22,Dry
7.49,7.51,16.22,15.96,Dry
7.41,7.45,23.84,23.76,Dry
7.68,7.7,12.97,12.98,Dry
7.73,7.76,17.47,17.46,Dry
7.4,7.35,22.09,21.63,Dry
8.2,8.2,6.47,6.42,Wet
7.53,7.53,23.91,23.25,Dry
7.4,7.45,20.01,20.69,Wet
7.3,7.29,23.5,22.44,Dry
7.59,7.65,5.3,5.47,Dry
7.82,7.79,5.12,5.06,Wet
8.31,8.22,4.12,4.09,Wet
7.21,7.21,12.47,8.21,Dry
7.8,7.84,8.84,9.03,Wet
8.08,8.1,4.72,4.68,Dry
8.21,7.9,25.3,24.03,Wet
7.61,7.65,17.29,17.5,Dry
7.73,7.82,0.82,4.11,Dry
7.73,7.77,3.79,3.53,Dry
7.76,7.76,22.31,21.36,Dry
7.51,7.41,16.2,16,Dry
8.17,8.11,25.87,22.69,Dry
7.72,7.8,16.18,14.36,Dry
7.62,7.66,26.99,26.11,Dry
7.98,8.03,2.58,2.48,Dry
8.32,8.03,25.05,22.53,Dry
8.1,7.84,26.13,24.47,Wet
7.62,7.71,18.43,13.46,Wet
7.57,7.59,22.73,22.82,Dry
8.09,8.03,3.68,3.57,Dry
7.1,7.1,19.27,19.22,Wet
7.58,7.3,3.79,3.34,Dry
7.34,7.22,25.99,21.6,Wet
8.29,8.43,2.09,0.92,Dry
7.5,7.22,26.01,25.38,Dry
7.64,7.65,23.66,23.29,Wet
8.24,8.22,4.39,4.41,Dry
8.1,7.77,24.19,22.97,Dry
7.15,7.17,21.7,21.51,Dry
7.56,7.74,22.55,21.52,Wet
7.2,7.22,23.13,23.09,Dry
7.43,7.26,22.92,23.45,Dry
7.83,7.82,22.99,22.4,Dry
7.42,7.57,24.08,22.69,Dry
7.6,7.49,22.03,22.06,Wet
7.56,7.47,24.88,23.68,Wet
7.22,7.22,22.19,22.13,Wet
7.52,7.47,23.08,22.49,Dry
7.35,7.39,12.39,12.36,Dry
7.9,8.07,3.89,4.37,Dry
7.43,7.44,24.85,24.8,Dry
7.46,7.47,27.01,26.57,Wet
7.73,7.8,18.08,18.01,Dry
7.49,7.38,23.22,22.28,Dry
7.32,7.29,23.84,23.81,Dry
7.46,7.49,12.76,12.72,Wet
8.17,7.72,19.99,14.18,Wet
7.49,7.43,24.54,21.45,Wet
7.53,7.61,20.83,20.76,Wet
7.34,7.36,15.49,15.52,Dry
7.63,7.4,24.19,23.69,Dry
7.11,7.54,16.27,16.66,Dry
7.38,7.32,20.18,21.73,Dry
7.37,7.43,21.5,21,Dry
7.47,7.5,19.77,15.83,Wet
7.35,7.06,22.93,18.51,Dry
7.93,7.94,23.07,22.42,Dry
6.97,7.02,23.23,22.83,Dry
7.87,7.81,21.56,17.95,Wet
7.27,7.28,21.38,21.04,Dry
8.08,8.06,7.09,7.5,Wet
7.94,7.96,23.78,23.76,Dry
7.51,7.34,24.1,23.22,Dry
8.09,8.03,23.97,23.08,Dry
7.55,7.6,19.02,18.25,Wet
7.29,7.3,23.26,23.19,Dry
8.26,8.13,12.27,11.03,Dry
8.21,8.09,23.17,19.86,Dry
7.46,7.45,21.46,20.93,Dry
7.15,7.15,21.8,21.12,Wet
7.18,7.21,23.91,23.85,Dry
7.45,7.36,26.64,25.94,Wet
7.9,7.99,4.05,5.07,Dry
8.09,7.99,27.18,25.72,Dry
7.58,7.62,18.46,18.02,Wet
7.7,7.73,19.35,19.23,Dry
8.13,8.15,20.96,20.92,Dry
7.54,7.36,22.01,21.69,Dry
7.58,7.67,20.87,18.62,Dry
7.05,7.05,24.88,22.78,Dry
7.85,7.85,9.38,9.24,Dry
7.78,7.77,22.59,22.2,Dry
7.93,7.92,16.67,16.27,Wet
7.8,7.86,3.5,3.49,Wet
8.07,7.88,25.08,24.23,Dry
7.56,7.59,13.63,13.92,Dry
7.94,7.64,23.05,19.11,Wet
7.33,7.37,22.94,22.94,Dry
7.5,7.51,14.93,12.86,Wet
7.41,7.46,23.88,21.17,Dry
7.42,6.92,16.12,16.22,Dry
8.2,8.22,25.74,23.45,Dry
7.13,7.14,23.94,23.82,Dry
7.32,7.36,22.04,21.12,Wet
7.49,7.57,23.5,21.41,Dry
7.77,7.66,24.55,22.22,Dry
7.42,7.4,22.49,22.51,Dry
7.47,7.48,23.18,22.91,Dry
7.35,7.51,20.21,20.25,Dry
7.88,7.88,14.47,14.03,Dry
7.16,7.25,18.02,17.94,Wet
7.04,7.04,22.73,22.21,Wet
7.47,7.49,24.22,24.17,Dry
7.39,7.08,18.19,16.36,Dry
7.38,7.43,21.67,21.68,Dry
7.86,7.84,7.71,7.7,Dry
7.62,7.65,1.21,1.24,Dry
7.46,7.46,22.17,21.14,Wet
8.07,7.73,16.5,13.39,Dry
7.35,7.51,23.2,22.88,Wet
7.61,7.63,8.95,8.96,Dry
7.64,7.28,27.19,25.63,Wet
7.43,7.44,23.49,23.34,Dry
7.54,7.56,17.86,17.11,Dry
7.32,7.3,17.27,16.44,Wet
7.31,7.36,21.8,21.59,Wet
7.38,7.47,20.91,19.13,Wet
7.66,7.73,14.44,14.11,Dry
7.67,7.75,19.92,13.99,Dry
7.11,7.29,8.71,8.25,Wet
7.44,7.44,21.07,21.06,Dry
7.76,7.77,17.4,17.04,Dry
7.43,7.39,17.51,15.79,Dry
7.77,7.85,3.87,3.81,Dry
7.38,7.38,22.69,21.97,Wet
7.57,7.54,24.44,24.42,Wet
7.31,7.18,21.32,19.36,Dry
7.55,7.57,18.29,18.17,Dry
7.55,7.49,22.38,22.31,Dry
7.66,7.65,24.71,23.79,Wet
7.52,7.52,25.27,24.86,Wet
7.97,7.99,4.13,4.1,Wet
7.62,7.6,23.22,23.18,Dry
7.49,7.48,25.29,22.38,Dry
8.34,8.29,23.74,23.72,Wet
7.72,7.74,7.28,6.96,Dry
7.71,7.68,25.97,25.18,Dry
7.81,7.87,9.97,9.77,Dry
7.52,7.53,18.52,18.3,Dry
7.62,7.81,22.1,21.39,Dry
7.78,7.74,7.38,6.82,Wet
7.57,7.53,7.55,8.09,Wet
7.83,7.83,1.19,1.08,Wet
7.61,7.78,20.02,17.32,Dry
7.79,7.95,5.47,6.41,Dry
7.74,7.74,19.73,19.29,Dry
7.45,7.42,22.73,22.35,Dry
7.26,7.27,24.74,24.65,Wet
7.26,7.22,23.49,22.71,Dry
7.63,7.56,9.1,8.87,Dry
7.17,7.17,23.47,21.99,Dry
7.49,7.49,10.59,10.08,Wet
7.65,7.65,22.55,20.94,Dry
7.56,7.21,22.7,20.07,Dry
8.06,8.11,6.28,6.1,Wet
7.23,7.24,21.54,21.21,Dry
7.43,7.43,24.02,23.88,Dry
7.28,7.24,21,19.93,Dry
7.37,7.41,21.56,21.45,Dry
7.22,7.27,22.06,20.31,Dry
8.19,8.02,23.54,19.55,Dry
7.66,7.66,15,14.83,Dry
7.44,7.34,25.2,22.05,Dry
7.56,7.58,13.4,13.17,Dry
7.7,7.73,4.86,4.84,Dry
8.1,7.99,22.72,22.28,Wet
7.6,7.67,23.39,23.44,Wet
7.52,7.53,23.66,23.62,Dry
7.45,7.45,18.2,17.46,Dry
7.45,7.48,21.64,21.64,Wet
7.89,8.01,5.57,6.17,Dry
8.11,7.88,22.28,21.03,Dry
7.1,7.07,22.93,22.9,Dry
7.7,7.71,8.24,8.23,Dry
8.13,7.68,24.93,22.68,Dry
