Open,High,Low,Close,Adj Close,Volume,Doreturn,Direction
114.550003,115.75,112.660004,113.290001,105.708199,1077200,-0.666380103,Down
113.910004,114.660004,111.800003,114.059998,106.426682,1668900,0.679685215,Up
113.230003,114.150002,110.860001,113.93,106.305359,2065700,-0.113996789,Down
113.849998,114.120003,112.089996,112.209999,104.700478,1327900,-1.509689648,Down
112.139999,113.989998,110.260002,113.519997,105.922813,1439500,1.167458853,Up
113.510002,113.510002,111.209999,112.239998,104.728477,1240500,-1.127553136,Down
111.959999,111.959999,108.580002,109.379997,102.05986,1274500,-2.548129292,Down
110.300003,111.470001,108.970001,111.330002,103.879379,1748900,1.7827959,Up
110.639999,114.32,110.339996,113.879997,106.25872,1834500,2.290484428,Up
114.93,118.269997,114.330002,116.300003,108.516785,2938800,2.125063242,Up
116.550003,117.599998,115.339996,117.199997,109.356514,1381100,0.773824068,Up
119,121.379997,117.589996,118.220001,110.308289,3123700,0.870341386,Up
118.360001,118.489998,116.349998,117.839996,109.953705,1561200,-0.321448191,Down
118.300003,118.610001,113.650002,115.239998,107.527687,2667500,-2.206399502,Down
116.07,116.940002,112.379997,116.410004,108.619423,1871800,1.015306876,Up
115.25,115.25,108.540001,109.82,102.470467,3787800,-5.661009634,Down
108.220001,110.449997,107.129997,110.25,102.871635,2674300,0.391496215,Up
113.379997,119.5,113.349998,119.190002,111.213348,5848900,8.108856246,Up
119.18,121.099998,114.800003,118.57,110.63485,5498900,-0.520169575,Down
116.800003,119.370003,114.669998,117.650002,109.776428,3141800,-0.775905603,Down
117.75,119.379997,111.029999,112.470001,104.943077,4303200,-4.402904237,Down
114.75,116.5,112.910004,114.949997,107.257133,2953000,2.205058272,Up
114.489998,114.489998,110.220001,110.830002,103.412849,3154100,-3.584175609,Down
111,114,110.449997,113.230003,105.771523,3015900,2.280832627,Up
111.809998,115.190002,110.370003,111.68,104.323624,2882400,-1.368893024,Down
115.669998,115.75,110.940002,115.199997,107.611763,1780600,3.151864241,Up
114.029999,114.029999,111.279999,112.339996,104.940147,1671500,-2.482643092,Down
113.150002,116.110001,113.089996,115.889999,108.256302,2142300,3.160044173,Up
115.620003,116.449997,111.919998,112.389999,104.986847,2110900,-3.020105933,Down
113,115.489998,111.059998,113.800003,106.303986,1978700,1.254575252,Up
113.800003,114.82,111,113.050003,105.603386,1881400,-0.659053368,Down
111,111.290001,104.510002,105.190002,98.261124,3167000,-6.952676688,Down
104.790001,108.580002,103.360001,107.559998,100.474983,2853500,2.253036511,Up
110.25,110.43,107.839996,108.610001,101.455841,1765300,0.976221116,Up
108.330002,109.080002,105.120003,106.230003,99.232605,2245000,-2.191333666,Down
108.300003,109.5,106.330002,109.440002,102.231148,1892100,3.021731617,Up
109.400002,110.629997,107.779999,108.809998,101.64267,2065200,-0.575634737,Down
109.029999,114.290001,109.029999,113.18,105.724792,3188600,4.01614991,Up
111.900002,114.660004,111.199997,112.550003,105.136299,1886800,-0.556627248,Down
112.93,114.980003,112.400002,114.580002,107.032608,454200,1.803667257,Up
113.940002,116.449997,113.150002,113.900002,106.397377,2045200,-0.593492966,Down
113.379997,113.379997,107.769997,110.269997,103.006477,3053100,-3.187014657,Down
112.559998,112.940002,108.650002,109.980003,102.735596,2439500,-0.262974725,Down
111,114.900002,110.25,114.330002,106.799072,1965900,3.955275638,Up
113.349998,117.25,113.349998,116.43,108.760727,1814800,1.836771578,Up
116.879997,120.199997,115.75,118.589996,110.77845,2118800,1.855194477,Up
116.889999,120.230003,115.839996,117.339996,109.610771,1957800,-1.054066924,Down
119.629997,120.980003,116.720001,117.949997,110.180603,1667300,0.519868618,Up
118,125.68,118,125.32,117.06514,2947900,6.248411075,Up
125.75,126.419998,124.010002,125.300003,117.046463,1332100,-0.015954365,Down
125.43,128.820007,125.290001,128.029999,119.596626,1575500,2.178761267,Up
129.889999,129.889999,125.459999,125.75,117.466812,2198600,-1.780831175,Down
129.759995,130.600006,126.940002,129.850006,121.296761,3020300,3.260451982,Up
129.25,129.970001,126.940002,129.020004,120.521423,1337100,-0.639207505,Down
129.020004,129.929993,127.610001,128.580002,120.11042,1925200,-0.3410207,Down
125.339996,130.490005,123.349998,124.589996,116.383232,1673200,-3.103134599,Down
125.779999,127.739998,123.980003,126.449997,118.12072,1296800,1.492902345,Up
126.940002,129.979996,125.400002,128.259995,119.811478,2093900,1.431381387,Up
128.899994,132.979996,128.740005,132.889999,124.136467,2011400,3.609828601,Up
134.460007,141.649994,134.270004,139.820007,130.610046,4800400,5.21488903,Up
140.720001,143.399994,139.520004,142.350006,132.973434,1225200,1.809499401,Up
143.990005,149.300003,142.330002,148.509995,138.727585,2648800,4.327293676,Up
148.990005,148.990005,141.899994,142.050003,132.693146,2826300,-4.349847941,Down
143,146.190002,142.289993,143.070007,133.645966,2234500,0.71806271,Up
144.490005,144.490005,141.539993,142,132.646393,1534300,-0.747926054,Down
141.699997,142.369995,138.419998,140.070007,130.843567,3099900,-1.359121767,Down
140.580002,140.580002,136.399994,137.369995,128.321426,3056400,-1.927600308,Down
134.259995,138.279999,132.75,135.289993,126.378441,2652500,-1.514154776,Down
136.660004,136.740005,132.389999,136.119995,127.153748,2653800,0.613480427,Up
138.899994,138.899994,130.380005,130.5,121.903946,3292300,-4.128704095,Down
130,131.509995,124.849998,131.380005,122.725975,3772400,0.674325177,Up
128.110001,128.910004,124.690002,126.860001,118.5037,3383400,-3.440408601,Down
124.010002,127.720001,122.760002,124.510002,116.308495,2489400,-1.852435831,Down
125.43,128.440002,123.510002,128.259995,119.811478,2022900,3.011803222,Up
127.129997,127.129997,120.839996,122,113.963844,2470600,-4.880695988,Down
120.010002,123.940002,112.5,117.870003,110.105896,4213900,-3.385238567,Down
118.760002,121.519997,114.129997,114.75,107.191391,3039600,-2.647001755,Down
114.75,118.559998,110.080002,117.540001,109.797615,3738700,2.431374363,Up
108.449997,114.529999,105.790001,112.779999,105.351151,4103600,-4.049690879,Down
109.480003,113.529999,102.889999,113.199997,105.743515,5113300,0.372434469,Up
114.639999,121.099998,114.639999,117.650002,109.900383,5225500,3.931085514,Up
120.459999,123.900002,117.019997,118.669998,110.853195,3031600,0.86697787,Up
117.870003,120.589996,114.550003,118.75,110.927917,1975000,0.067406266,Up
119.989998,119.989998,115.110001,116.949997,109.246452,2035800,-1.5158177,Down
116.389999,120.029999,114.75,115.5,107.891998,2923400,-1.239815093,Down
114.019997,114.669998,111.43,112.669998,105.248413,3392800,-2.450214148,Down
113.25,117.110001,112.93,115.940002,108.302994,3003300,2.902258488,Up
116.989998,119.410004,115.5,117.459999,109.72287,1988000,1.311021928,Up
117.989998,117.989998,112.800003,113.260002,105.799553,2692700,-3.575660206,Down
113.190002,114.949997,110.07,110.300003,103.034523,3909600,-2.613460947,Down
104.919998,110.300003,103.650002,106.910004,99.867821,6384900,-3.073437822,Down
106.900002,110,105.650002,108.389999,101.250343,3415200,1.384351822,Up
107.68,110.5,105.309998,109.57,102.352585,2485100,1.088630386,Up
109.400002,112.25,106.68,108.139999,101.016792,2730600,-1.305089657,Down
109.480003,112.540001,107.370003,111.709999,104.472382,2806900,3.420807503,Up
112.949997,113.589996,110.330002,111.349998,104.135719,2203400,-0.322250717,Down
110.989998,111.919998,108.739998,110.470001,103.312737,1982700,-0.790297515,Down
112.190002,116.029999,112.190002,114.099998,106.707558,2202500,3.285965602,Up
112.660004,119.410004,112.540001,118.769997,111.074966,2762300,4.09287597,Up
119.059998,119.059998,115.029999,117.57,109.952744,3002400,-1.010328466,Down
118.650002,119.419998,115.980003,119.379997,111.64547,2496200,1.539503189,Up
119.5,120.129997,117.379997,119.489998,111.748352,2367200,0.092150626,Up
119.57,125.550003,118.620003,124.610001,116.536636,3057800,4.284881087,Up
124.650002,124.849998,120.949997,122.019997,114.114426,3349100,-2.078496585,Down
122.489998,124.720001,121.410004,122.989998,115.021584,1470500,0.794954706,Up
121.760002,123.07,120.470001,120.830002,113.001518,2678300,-1.756249505,Down
120.190002,123.540001,118.800003,120.949997,113.113747,1987100,0.099316365,Up
118.93,121.419998,116.559998,118.32,110.654144,2557600,-2.174450998,Down
119.400002,123.629997,119.010002,123.370003,115.376945,1679100,4.268074226,Up
123.080002,124.199997,120.150002,122.150002,114.235985,1728400,-0.988897739,Down
120.830002,122.269997,118.510002,120.260002,112.468452,2093000,-1.547264638,Down
119.239998,120.519997,117.580002,118.32,110.654144,2113500,-1.613170598,Down
119.949997,125.209999,119.839996,125.209999,117.097748,1905800,5.823192668,Up
124.010002,125,120.949997,121.900002,114.00219,1240400,-2.643567492,Down
121.959999,125.660004,118.459999,125.120003,117.01358,1700700,2.64151943,Up
124.809998,125.889999,121.269997,124.449997,116.386971,1510200,-0.535501093,Down
120.720001,122.900002,117.580002,119.150002,111.430374,1868400,-4.258721537,Down
122.839996,124.690002,121.650002,124.68,116.602066,1496300,4.641186971,Up
122.68,124.029999,114.959999,115.040001,107.586647,2208500,-7.731783243,Down
114,115.239998,110.5,113.269997,105.931335,2347800,-1.538584988,Down
112.739998,116.919998,112.739998,116.110001,108.587341,1128500,2.507290218,Up
115.25,119.510002,114.029999,117.480003,109.868568,1475400,1.179904571,Up
117.580002,121.599998,117.580002,119.129997,111.411652,1717400,1.404481762,Up
119.989998,122.330002,118.760002,119.309998,111.579994,1464000,0.151099097,Up
120.620003,120.620003,116.529999,117.940002,110.298752,1182300,-1.148272154,Down
119.110001,120.720001,114,116.400002,108.858551,2494700,-1.305727376,Down
115.410004,118.379997,113.290001,117.699997,110.074303,1696700,1.116818099,Up
116.889999,121.209999,114.720001,120.019997,112.243988,1813600,1.97110946,Up
119.010002,121.400002,118.360001,119.459999,111.720291,2252700,-0.466570201,Down
119.949997,122.699997,119.900002,121.510002,113.637466,1653500,1.716049057,Up
122.360001,126.760002,122.360001,123.620003,115.610786,2025500,1.736504755,Up
123.330002,125.669998,122.010002,123.360001,115.367607,1421000,-0.210342831,Down
124.440002,126.889999,123.669998,126,117.836563,2028600,2.140077327,Up
126,126.150002,123.610001,125.669998,117.527924,1745000,-0.261921251,Down
126.919998,127.169998,124.330002,124.769997,116.686264,1862200,-0.716136192,Down
126.809998,132.460007,125.290001,131.520004,122.998924,3763300,5.409942682,Up
130.100006,131,127.269997,129.830002,121.418396,2578600,-1.284993355,Down
129.979996,134.929993,126.889999,134.399994,125.692345,2696700,3.520017675,Up
133.339996,134.300003,130.110001,133.210007,124.57943,2214200,-0.885427828,Down
133.539993,140.339996,130.320007,138.75,129.760513,2903000,4.158859131,Up
139.960007,139.960007,137.070007,139.610001,130.564789,1633100,0.619815675,Up
139.850006,140.490005,137.460007,140.279999,131.19136,1715000,0.479892783,Up
140.059998,140.779999,135.589996,135.960007,127.151253,2206100,-3.079552647,Down
130.339996,136.410004,130.339996,132.649994,124.05571,3003400,-2.434535977,Down
133,134.990005,130.419998,132.699997,124.102486,2040000,0.03770564,Up
133.449997,133.449997,130.020004,131.130005,122.634209,1581300,-1.183116509,Down
129.169998,130.179993,127.050003,127.879997,119.594772,2363800,-2.478457703,Down
127.480003,128.520004,122.690002,125.410004,117.399536,3026900,-1.835561842,Down
123.43,125.279999,121.43,123.800003,115.89241,2059700,-1.283758055,Down
123.660004,128.5,123.660004,127.989998,119.814751,1340600,3.384467542,Up
129.210007,130.910004,127.739998,129.639999,121.35936,1106000,1.289164303,Up
130.759995,134.320007,129.869995,132.820007,124.336258,2255100,2.452961189,Up
134.210007,134.559998,130.25,130.589996,122.24868,1903100,-1.678977664,Down
131.429993,131.990005,127.190002,130.449997,122.117622,1675400,-0.107206066,Down
130.509995,132.800003,128.559998,131.820007,123.400124,2142700,1.050218616,Up
131.210007,132.490005,130.080002,130.729996,122.3797,1420800,-0.826922994,Down
130.740005,132.839996,128,130.460007,122.126984,2498300,-0.206501568,Down
131,133.300003,128.080002,129.289993,121.0317,2044900,-0.896840292,Down
130.899994,135.559998,128.330002,135.300003,126.657852,3097400,4.648494568,Up
138.169998,141.210007,137.5,140.419998,131.45079,3031000,3.784161759,Up
141.470001,145.210007,140.080002,143.800003,134.614929,2609700,2.407090136,Up
146.669998,146.669998,143.259995,145.679993,136.374817,1841000,1.307349796,Up
146.270004,147.770004,140.770004,141.210007,132.190353,2725600,-3.068355355,Down
141.740005,142.160004,137.199997,139.279999,130.383606,2076700,-1.366776742,Down
139.899994,140.529999,134.669998,136.860001,128.118164,1378900,-1.73752059,Down
136.229996,137.800003,133.479996,136.279999,127.575218,2512000,-0.423785342,Down
135.5,140.539993,133.979996,140.179993,131.226074,1954000,2.861728208,Up
138.190002,139.979996,135.5,136.300003,127.594017,2554800,-2.767786073,Down
137.050003,139.149994,135.229996,136.440002,127.725014,1872600,0.10266704,Up
138.550003,140.039993,135.300003,137.550003,128.764069,2111200,0.813509404,Up
135.860001,138.5,132.830002,132.949997,124.457924,3120000,-3.344213206,Down
132.300003,135.5,129.820007,130.460007,122.126984,3177200,-1.87287392,Down
131.940002,137.639999,131.520004,137.639999,128.848343,2086400,5.503582239,Up
139.880005,140.860001,133.539993,133.820007,125.272392,2069100,-2.775317801,Down
134.690002,139.190002,133.610001,135.419998,126.770134,2261900,1.195588251,Up
135.570007,135.570007,130.029999,131.479996,123.08181,2299400,-2.909458154,Down
132.270004,134.759995,131.800003,133.529999,125.000877,2119400,1.559180028,Up
132.009995,132.210007,129.020004,130.970001,122.604408,1675300,-1.917161749,Down
130.919998,134.139999,130,132.440002,123.980499,2035600,1.122382973,Up
132.130005,134.190002,131.449997,133.119995,124.617065,1871100,0.513440424,Up
133.089996,136.770004,132.710007,136.25,127.54715,1727500,2.351271072,Up
135.490005,137.759995,133.779999,135.75,127.079094,2180400,-0.366967039,Down
137.410004,137.779999,130.539993,130.729996,122.3797,2301800,-3.698007164,Down
131.220001,133.929993,130.059998,130.860001,122.501434,1731500,0.09947238,Up
132.179993,137.300003,131.119995,137.089996,128.333496,1922800,4.760811208,Up
136.360001,136.949997,132.850006,133.399994,124.879158,2196900,-2.691688536,Down
134.199997,136.850006,131.539993,135.029999,126.405022,2492900,1.221872428,Up
135.020004,137.479996,132.779999,135.520004,126.863792,2012300,0.36293653,Up
135.350006,138.949997,135.279999,137.880005,129.073044,1408100,1.741436201,Up
138.990005,141.940002,138.990005,139.139999,130.252579,1925100,0.913850765,Up
139.800003,139.929993,136.029999,139.699997,130.776733,2335900,0.402413529,Up
140.880005,143.309998,134.009995,134.779999,126.171013,2161300,-3.52181913,Down
134.559998,136.059998,130.5,132.270004,123.821373,1835100,-1.862266098,Down
131.360001,133.630005,127.769997,130.610001,122.267387,1883900,-1.255022427,Down
129.990005,131.610001,126.089996,131.399994,123.00692,2436000,0.604848945,Up
133,133.580002,127.25,127.709999,119.552628,2165300,-2.808209489,Down
